지표연도,시도,시군구,CRE수
2018,전국,전국,11954
2018,서울,서울,3736
2018,서울,강남구,510
2018,서울,강동구,261
2018,서울,강북구,41
2018,서울,강서구,12
2018,서울,관악구,37
2018,서울,광진구,75
2018,서울,구로구,205
2018,서울,금천구,4
2018,서울,노원구,96
2018,서울,도봉구,15
2018,서울,동대문구,95
2018,서울,동작구,48
2018,서울,마포구,0
2018,서울,서대문구,677
2018,서울,서초구,275
2018,서울,성동구,145
2018,서울,성북구,101
2018,서울,송파구,331
2018,서울,양천구,77
2018,서울,영등포구,287
2018,서울,용산구,39
2018,서울,은평구,52
2018,서울,종로구,233
2018,서울,중구,20
2018,서울,중랑구,100
2018,부산,부산,1489
2018,부산,강서구,0
2018,부산,금정구,13
2018,부산,기장군,30
2018,부산,남구,21
2018,부산,동구,36
2018,부산,동래구,23
2018,부산,부산진구,220
2018,부산,북구,26
2018,부산,사상구,43
2018,부산,사하구,11
2018,부산,서구,485
2018,부산,수영구,74
2018,부산,연제구,95
2018,부산,영도구,11
2018,부산,중구,9
2018,부산,해운대구,392
2018,대구,대구,533
2018,대구,남구,180
2018,대구,달서구,20
2018,대구,달성군,2
2018,대구,동구,61
2018,대구,북구,33
2018,대구,서구,24
2018,대구,수성구,2
2018,대구,중구,211
2018,대구,군위군,0
2018,인천,인천,1206
2018,인천,강화군,0
2018,인천,계양구,73
2018,인천,미추홀구,85
2018,인천,남동구,432
2018,인천,동구,142
2018,인천,부평구,113
2018,인천,서구,61
2018,인천,연수구,47
2018,인천,옹진군,0
2018,인천,중구,253
2018,광주,광주,133
2018,광주,광산구,21
2018,광주,남구,51
2018,광주,동구,38
2018,광주,북구,15
2018,광주,서구,8
2018,대전,대전,137
2018,대전,대덕구,8
2018,대전,동구,3
2018,대전,서구,62
2018,대전,유성구,5
2018,대전,중구,59
2018,울산,울산,191
2018,울산,남구,11
2018,울산,동구,111
2018,울산,북구,7
2018,울산,울주군,0
2018,울산,중구,62
2018,경기,경기,1781
2018,경기,가평군,1
2018,경기,고양시 덕양구,79
2018,경기,고양시 일산동구,116
2018,경기,고양시 일산서구,44
2018,경기,과천시,0
2018,경기,광명시,43
2018,경기,광주시,23
2018,경기,구리시,47
2018,경기,군포시,55
2018,경기,김포시,100
2018,경기,남양주시,56
2018,경기,동두천시,8
2018,경기,부천시 소사구,0
2018,경기,부천시 오정구,0
2018,경기,성남시 분당구,134
2018,경기,성남시 수정구,5
2018,경기,성남시 중원구,3
2018,경기,수원시 권선구,7
2018,경기,수원시 영통구,37
2018,경기,수원시 장안구,15
2018,경기,수원시 팔달구,140
2018,경기,시흥시,12
2018,경기,안산시 단원구,56
2018,경기,안산시 상록구,7
2018,경기,안성시,10
2018,경기,안양시 동안구,240
2018,경기,안양시 만안구,59
2018,경기,양주시,3
2018,경기,양평군,3
2018,경기,여주시,15
2018,경기,연천군,1
2018,경기,오산시,15
2018,경기,용인시 기흥구,18
2018,경기,용인시 수지구,1
2018,경기,용인시 처인구,11
2018,경기,의왕시,2
2018,경기,의정부시,150
2018,경기,이천시,5
2018,경기,파주시,6
2018,경기,평택시,41
2018,경기,포천시,4
2018,경기,하남시,1
2018,경기,화성시,72
2018,경기,부천시,136
2018,강원,강원,361
2018,강원,강릉시,48
2018,강원,고성군,0
2018,강원,동해시,3
2018,강원,삼척시,0
2018,강원,속초시,12
2018,강원,양구군,0
2018,강원,양양군,0
2018,강원,영월군,4
2018,강원,원주시,101
2018,강원,인제군,0
2018,강원,정선군,0
2018,강원,철원군,3
2018,강원,춘천시,183
2018,강원,태백시,0
2018,강원,평창군,0
2018,강원,홍천군,2
2018,강원,화천군,0
2018,강원,횡성군,5
2018,충북,충북,94
2018,충북,괴산군,18
2018,충북,단양군,0
2018,충북,보은군,0
2018,충북,영동군,1
2018,충북,옥천군,2
2018,충북,음성군,5
2018,충북,제천시,8
2018,충북,증평군,0
2018,충북,진천군,1
2018,충북,충주시,7
2018,충북,청주시 상당구,12
2018,충북,청주시 흥덕구,6
2018,충북,청주시 서원구,26
2018,충북,청주시 청원구,8
2018,충남,충남,230
2018,충남,계룡시,0
2018,충남,공주시,3
2018,충남,금산군,2
2018,충남,논산시,13
2018,충남,당진시,2
2018,충남,보령시,3
2018,충남,부여군,0
2018,충남,서산시,4
2018,충남,서천군,1
2018,충남,아산시,10
2018,충남,예산군,1
2018,충남,청양군,0
2018,충남,태안군,0
2018,충남,홍성군,27
2018,충남,천안시 동남구,106
2018,충남,천안시 서북구,58
2018,전북,전북,438
2018,전북,고창군,4
2018,전북,군산시,18
2018,전북,김제시,2
2018,전북,남원시,1
2018,전북,무주군,0
2018,전북,부안군,4
2018,전북,순창군,0
2018,전북,완주군,0
2018,전북,익산시,59
2018,전북,임실군,0
2018,전북,장수군,0
2018,전북,전주시 덕진구,140
2018,전북,전주시 완산구,200
2018,전북,정읍시,10
2018,전북,진안군,0
2018,전남,전남,157
2018,전남,강진군,0
2018,전남,고흥군,2
2018,전남,곡성군,3
2018,전남,광양시,2
2018,전남,구례군,0
2018,전남,나주시,1
2018,전남,담양군,1
2018,전남,목포시,99
2018,전남,무안군,1
2018,전남,보성군,1
2018,전남,순천시,22
2018,전남,신안군,0
2018,전남,여수시,8
2018,전남,영광군,2
2018,전남,영암군,1
2018,전남,완도군,0
2018,전남,장성군,0
2018,전남,장흥군,0
2018,전남,진도군,0
2018,전남,함평군,0
2018,전남,해남군,2
2018,전남,화순군,12
2018,경북,경북,265
2018,경북,경산시,16
2018,경북,경주시,38
2018,경북,고령군,1
2018,경북,구미시,58
2018,경북,김천시,4
2018,경북,문경시,19
2018,경북,봉화군,0
2018,경북,상주시,3
2018,경북,성주군,0
2018,경북,안동시,12
2018,경북,영덕군,1
2018,경북,영양군,0
2018,경북,영주시,1
2018,경북,영천시,2
2018,경북,예천군,0
2018,경북,울릉군,0
2018,경북,울진군,0
2018,경북,의성군,1
2018,경북,청도군,9
2018,경북,청송군,0
2018,경북,칠곡군,4
2018,경북,포항시 남구,91
2018,경북,포항시 북구,5
2018,경남,경남,1106
2018,경남,거제시,11
2018,경남,거창군,13
2018,경남,고성군,1
2018,경남,김해시,22
2018,경남,남해군,3
2018,경남,밀양시,22
2018,경남,사천시,90
2018,경남,산청군,0
2018,경남,양산시,275
2018,경남,의령군,1
2018,경남,진주시,257
2018,경남,창녕군,0
2018,경남,통영시,99
2018,경남,하동군,0
2018,경남,함안군,2
2018,경남,함양군,3
2018,경남,합천군,1
2018,경남,창원시 마산합포구,86
2018,경남,창원시 마산회원구,60
2018,경남,창원시 성산구,80
2018,경남,창원시 의창구,77
2018,경남,창원시 진해구,3
2018,제주,제주,97
2018,제주,서귀포시,23
2018,제주,제주시,74
2018,세종,세종,0
2018,세종,세종시,0
